label,mission,object_id,period_days,dur_hr,depth_ppm,rprstar,a_over_rstar,radius_rearth,insol_earth,eq_temp_k,teff_k,logg_cgs,star_rad_rsun,ra_deg,dec_deg,t_mag
1,Kepler,Kepler-26 e,46.82767725,1.9033,1537.7,0.036335,180.2,2.13,1.37,276.0,3879.0,4.708,0.537,284.94098,46.56654,
0,TESS,TOI-35481,0.3093954,0.442,7680.0,0.08763560920082658,,15.7244,1703.73,1789.0,4769.0,4.59,0.73,294.557985,47.783127,13.0744
1,K2,K2-148 d,9.75833,1.8,504.0,0.0217,35.9,0.88,,,,,0.371,14.5176494,-0.193258,12.2481
1,K2,K2-83 b,2.74697,1.664,,0.0268,,1.244,41.5,,3910.0,4.863,0.424,59.9013782,15.5587994,12.8328
0,TESS,TOI-23201,,4.4875335,4111.2234826,0.06411882315357949,,18.0,82.7545001,769.2502648,5879.0,4.28122,1.23623,247.657124,56.399869,9.85317
1,K2,K2-271 b,8.562405,3.24,,0.0665,,6.0,,,,,0.83,125.2239144,16.0907958,13.2027
1,K2,EPIC 206215704 b,2.25372,,,0.0225,,0.9,,,,,,335.0949721,-9.5097112,14.9871
1,Kepler,Kepler-1834 c,0.766691517,1.2638,244.0,0.014221,4.39,1.22,1334.22,1541.0,4821.0,4.529,0.788,294.6647,39.783829,
0,TESS,TOI-7171,0.53079,1.238,1113.07,0.03336270372736598,,,977.343,1557.0,3788.4,4.87,,147.970536,2.116647,11.4407
0,Kepler,K03378.01,27.6775212,2.513,293.9,0.254797,16.99,23.04,22.91,558.0,5797.0,4.563,0.828,294.50916,39.461109,
0,Kepler,K06503.02,1.36513839,1.86,,,,,,,,,,297.87741,40.120781,
0,Kepler,K08222.01,677.56282,10.53,631.0,0.023563,428.0,2.24,0.31,190.0,5511.0,4.477,0.872,290.47623,49.20261,
1,K2,EPIC 211945201 b,19.492132,3.5808,,0.0373,,6.0,,,,,1.48,136.5741931,19.4020565,9.66896
0,Kepler,K01447.02,2.27999662,5.7777,12831.0,0.112311,2.657,20.74,3775.07,2000.0,6594.0,4.051,1.691,296.02509,43.234875,
0,Kepler,K06771.01,0.700606479,0.993,23.5,0.004549,5.08,1.22,28551.69,3312.0,6280.0,3.795,2.449,298.48257,42.240379,
1,Kepler,Kepler-1282 b,2.131945045,1.8061,269.4,0.014975,8.98,1.66,955.16,1418.0,5845.0,4.469,1.013,290.17618,46.698341,
0,Kepler,K04609.01,361.43653,9.08,271.9,0.015211,301.6,1.56,1.22,268.0,6028.0,4.398,0.938,286.78522,38.151642,
0,Kepler,K07037.01,27.533803402,3.96227,48153.0,0.284347,48.242,50.02,85.95,777.0,5925.0,4.052,1.611,285.05148,44.485138,
0,Kepler,K07741.01,125.288206,3.695,241.6,0.014142,262.1,1.5,4.1,363.0,5881.0,4.48,0.973,296.17761,41.014118,
0,Kepler,K05818.01,1.23138339,3.943,72.7,0.007828,2.35,0.82,1746.21,1648.0,5791.0,4.505,0.958,290.25308,47.983318,
1,K2,EPIC 220674823 b,0.5713127,1.54,241.0,0.01553,2.855,1.676,4656.0,2299.0,5578.0,4.408,0.99,13.0800239,10.7947051,11.4574
1,TESS,TOI-1744,3.9766833,1.859,142.0,0.011916375287812985,,0.757588,89.0886,855.0,4813.0,4.38,0.69,55.459031,-62.767267,8.7513
